,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg)
4648.0,13.904701365886133,0.7193286019810767,0.0,0.0,-0.0007912584391042021,0.0,0.0,1.1875907149426592
4649.0,13.904708380807207,0.718451558619536,0.0,0.0,-0.0007990593257366411,0.0,0.0,1.1867955552210332
4650.0,13.904716216197043,0.7175673433841729,0.0,0.0,-0.0008068499758603808,0.0,0.0,1.185992599703351
4651.0,13.904724873983676,0.7166759715131337,0.0,0.0,-0.0008146300571360217,0.0,0.0,1.1851818587922573
4652.0,13.904734356068257,0.7157774585656379,0.0,0.0,-0.0008223992368278754,0.0,0.0,1.184363343222936
4653.0,13.904744664324896,0.7148718204221512,0.0,0.0,-0.0008301571818169433,0.0,0.0,1.1835370640634983
4654.0,13.904755800600523,0.7139590732845444,0.0,0.0,-0.0008379035586139375,0.0,0.0,1.182703032715362
4655.0,13.904767766714736,0.7130392336762398,0.0,0.0,-0.0008456380333723401,0.0,0.0,1.181861260913613
4656.0,13.904780564459665,0.7121123184423442,0.0,0.0,-0.0008533602719015029,0.0,0.0,1.181011760727357
4657.0,13.904794195599822,0.7111783447497692,0.0,0.0,-0.0008610699396797853,0.0,0.0,1.1801545445600568
4658.0,13.904808661871957,0.7102373300873375,0.0,0.0,-0.0008687667018677302,0.0,0.0,1.1792896251498572
4659.0,13.90482396498492,0.7092892922658769,0.0,0.0,-0.0008764502233212781,0.0,0.0,1.178417015569896
4660.0,13.904840106619522,0.7083342494183005,0.0,0.0,-0.0008841201686050172,0.0,0.0,1.1775367292286016
4661.0,13.904857088428384,0.7073722199996734,0.0,0.0,-0.0008917762020054696,0.0,0.0,1.1766487798699776
4662.0,13.904874912035808,0.7064032227872669,0.0,0.0,-0.0008994179875444134,0.0,0.0,1.175753181573875
4663.0,13.90489357903763,0.7054272768805986,0.0,0.0,-0.00090704518899224,0.0,0.0,1.1748499487562498
4664.0,13.904913091001088,0.7044444017014594,0.0,0.0,-0.000914657469881344,0.0,0.0,1.1739390961694076
4665.0,13.90493344946468,0.7034546169939274,0.0,0.0,-0.0009222544935195489,0.0,0.0,1.173020638902235
